v1x,v1y,v1,ext,extV,rot,v2x,v2y,v2,v2 angle,vdx,vdy
0.000005,83.691765,83.691765,0.875285,-1.009565,0.000251,11.045263,-65.793701,66.714386,-1.40447,11.045258,-149.485466
0.000005,83.691765,83.691765,0.875285,-1.009565,0.000251,11.045263,-65.793701,66.714386,-1.40447,11.045258,-149.485466
0.830074,74.821617,74.826218,0.8026,-1.438458,0.001576,12.521723,-82.954979,83.894707,-1.420981,11.691649,-157.776596
1.508532,71.407257,71.423195,0.768577,-1.600812,0.002683,13.844929,-92.617111,93.646202,-1.422409,12.336397,-164.024368
3.166822,65.703339,65.77961,0.704518,-1.843797,0.005862,15.953627,-111.015671,112.156136,-1.428067,12.786805,-176.719009
7.088139,56.449226,56.892502,0.59054,-2.087093,0.016473,22.897572,-148.073822,149.833755,-1.417375,15.809433,-204.523048
10.248346,50.295948,51.329437,0.516413,-2.122351,0.028559,28.456295,-171.916321,174.255508,-1.40676,18.207949,-222.212269
12.395907,46.39893,48.026234,0.472136,-2.097225,0.03874,33.35099,-187.316208,190.26207,-1.394596,20.955083,-233.715137
13.475024,44.503834,46.499111,0.451499,-2.073235,0.044492,35.98864,-194.420258,197.723099,-1.387761,22.513616,-238.924091
25.188305,26.230272,36.365887,0.286559,-1.518804,0.137425,72.354416,-246.870682,257.25531,-1.285694,47.166111,-273.100954
5.625646,35.610832,36.052452,0.654418,-1.441743,0.235557,47.561424,-113.207443,122.792564,-1.173061,41.935779,-148.818275
10.415023,31.783558,33.446484,0.579317,-1.400939,0.262468,60.593895,-136.929321,149.737289,-1.154181,50.178872,-168.712879
12.744011,30.706984,33.246483,0.464371,-1.567079,0.076854,40.005997,-186.713211,190.95105,-1.359723,27.261986,-217.420195
24.78569,17.729656,30.474106,0.322887,-1.172114,0.029052,46.400875,-237.907074,242.389816,-1.378177,21.615185,-255.63673
45.913307,-4.397809,46.123447,0.226859,-0.233946,0.033954,71.251671,-268.899109,278.178955,-1.311774,25.338364,-264.5013
49.168533,-3.325556,49.280869,0.096412,-0.483578,0.033429,79.325127,-317.052246,326.825043,-1.325633,30.156593,-313.72669
40.867901,26.512165,48.714272,0.02338,-1.987118,0.011582,68.352417,-349.30307,355.927917,-1.377556,27.484516,-375.815235
37.808685,50.746597,63.28281,0.059454,-2.87049,0.041887,73.966293,-338.099548,346.095825,-1.355419,36.157608,-388.846146
35.204231,70.841835,79.106911,0.160385,-3.369639,0.010696,59.417999,-305.880188,311.597809,-1.378933,24.213768,-376.722023
56.172913,-8.543554,56.818909,0.233225,-0.203958,0.002217,75.614822,-267.604553,278.082367,-1.295414,19.44191,-259.060999
60.246723,-8.493834,60.842525,0.142108,-0.349759,0.014083,85.573013,-300.386322,312.337463,-1.293271,25.32629,-291.892488
44.759254,-11.550115,46.225491,0.052948,-1.285434,0.041865,76.785049,-333.351074,342.080231,-1.344402,32.025795,-321.80096
42.190475,40.955475,58.799553,0.01858,-2.53639,0.068604,88.206299,-349.293152,360.258331,-1.32344,46.015823,-390.248627
33.243683,93.186211,98.938431,0.094407,-4.046808,0.017665,61.891094,-333.593994,339.286682,-1.387354,28.647411,-426.780205
42.694435,-20.349968,47.296257,0.104873,-0.69242,0.049515,74.25882,-313.957458,322.619995,-1.33854,31.564384,-293.607491
48.449841,65.975372,81.854362,0,-4.249719,0.001847,63.366478,-359.132416,364.679871,-1.396151,14.916637,-425.107788
38.209625,-11.512045,39.906174,0.064189,-1.671757,0.046784,69.606499,-329.614929,336.884338,-1.362679,31.396873,-318.102884
49.478203,181.565582,188.186493,0.341434,-4.331814,0.0581,96.867912,-261.777496,279.125153,-1.216382,47.389709,-443.343079
43.720039,-17.669697,47.155701,0.085704,-0.933829,0.048862,76.01004,-320.976196,329.853363,-1.338271,32.290001,-303.306499
46.383263,177.607147,183.563904,0.223472,-4.821139,0.147629,132.884857,-291.479218,320.341248,-1.143048,86.501595,-469.086365
-31.517757,-10.432764,33.19957,0.578826,0.623976,-0.020518,-44.845898,-140.815369,147.784042,-1.879114,-13.32814,-130.382605
-43.80912,-0.972782,43.81992,0.627058,0.05811,-0.014099,-56.7938,-123.458908,135.895676,-2.001953,-12.98468,-122.486126
42.293274,169.945679,175.129242,0.260702,-4.608764,0.039468,82.861404,-290.661621,302.241943,-1.293085,40.56813,-460.6073
38.745224,160.674683,165.280212,0.239544,-4.698973,-0.120803,-18.121643,-303.2258,303.766815,-1.630488,-56.866867,-463.900482
-58.517025,-2.693651,58.578991,0.588183,-0.009451,-0.040108,-74.77446,-134.61647,153.989655,-2.077824,-16.257435,-131.922819
28.610186,95.82531,100.005165,0,-4.311141,-0.333393,-104.459671,-343.263092,358.805481,-1.866206,-133.069857,-439.088402
78.135712,175.706879,192.29689,0.54495,-3.324854,-0.357268,-46.963646,-202.950562,208.313507,-1.798198,-125.099358,-378.65744
43.399162,199.990784,204.645554,0.435829,-4.084579,-0.0448,18.000433,-252.107727,252.749527,-1.499518,-25.398729,-452.098511
31.936039,132.58992,136.381805,0.028072,-4.93206,-0.043344,4.112673,-367.302246,367.325287,-1.5596,-27.823366,-499.892166
-63.049511,-17.419245,65.411552,0.212821,0.261683,-0.045539,-92.563408,-271.950775,287.272003,-1.898865,-29.513897,-254.53153
-68.839432,-22.531923,72.433105,0.368486,0.768752,-0.07971,-97.486488,-211.887924,233.238312,-2.002005,-28.647057,-189.356001
-5.411886,16.593102,17.453354,0.62322,-0.619957,-0.482704,-71.990044,-110.293419,131.708786,-2.149077,-66.578157,-126.88652
36.422096,135.463684,140.274658,0.136523,-4.785602,-0.246293,-70.23085,-325.709412,333.195129,-1.783169,-106.652946,-461.173096
-38.801208,23.658121,45.444916,0.001698,-2.443345,-0.012391,-63.42429,-354.251648,359.884521,-1.747957,-24.623081,-377.909769
-21.498531,-2.88051,21.690647,0.029635,-1.908793,-0.012567,-42.986935,-344.926636,347.594971,-1.694783,-21.488403,-342.046126
-59.872581,60.13813,84.860596,0.024388,-3.340854,-0.010943,-92.080658,-352.002472,363.846924,-1.826654,-32.208076,-412.140602
12.616007,168.981201,169.451492,0.687612,-2.404246,-0.138681,-37.408707,-151.188171,155.747467,-1.813356,-50.024714,-320.169373
-63.968933,-9.516966,64.673004,0.239403,-0.196377,-0.028424,-89.388901,-263.042358,277.815857,-1.89838,-25.419968,-253.525393
-69.334801,238.219345,248.104355,0.653692,-2.799869,-0.075844,-121.282639,-176.718079,214.333282,-2.172272,-51.947838,-414.937424
-45.235252,-35.233566,57.337879,0.232154,0.205649,-0.015372,-65.426689,-268.692261,276.543274,-1.809649,-20.191437,-233.458694
45.333897,-10.844777,46.612995,0.736298,-0.10935,-0.311381,13.917068,-92.191956,93.236481,-1.42097,-31.416829,-81.347178
-7.654342,99.211395,99.506233,0,-4.841656,-0.003044,-22.470139,-360.145691,360.845978,-1.633107,-14.815797,-459.357086
-49.740166,3.651648,49.874027,0.061598,-0.871273,-0.046472,-84.961327,-328.975006,339.769012,-1.823535,-35.221161,-332.626654
-47.981243,166.357697,173.138916,0.274078,-4.522187,-0.051733,-93.46196,-282.729645,297.7771,-1.890058,-45.480717,-449.087341
-26.20158,12.478815,29.021435,0.305937,-0.936642,-0.023164,-46.84396,-243.570496,248.034149,-1.760798,-20.64238,-256.049311
-71.676071,20.443104,74.534416,0.000223,-2.224714,-0.005147,-100.461349,-352.494843,366.531158,-1.848436,-28.785278,-372.937946
-42.783081,190.11882,194.873169,0.257541,-4.832487,-0.155824,-132.886703,-283.367676,312.979431,-2.009301,-90.103622,-473.486496
-45.530563,-33.608788,56.59137,0.162762,-0.386482,-0.021291,-68.473709,-294.002106,301.870636,-1.799619,-22.943146,-260.393318
-31.333952,175.047607,177.829926,0.217083,-4.858947,-0.056907,-78.686653,-308.115906,318.00473,-1.820832,-47.352701,-483.163513
-60.60405,244.409119,251.810776,0.630318,-2.986515,-0.089333,-119.234718,-188.450775,223.003616,-2.134921,-58.630669,-432.859894
-36.892296,-29.722458,47.375797,0.111189,-1.280253,-0.011207,-57.712944,-314.253113,319.508667,-1.752424,-20.820648,-284.530655
-17.95093,204.166946,204.954575,0.298841,-4.805549,-0.053707,-61.740837,-292.110321,298.563843,-1.779092,-43.789907,-496.277267
-34.447838,85.425125,92.109207,0.044859,-3.906109,-0.044315,-73.738472,-348.919373,356.625977,-1.779066,-39.290634,-434.344498
-50.480488,-22.075277,55.096256,0.138387,-0.18591,-0.072373,-87.002167,-299.306519,311.694977,-1.85368,-36.521679,-277.231241
-55.019684,141.976685,152.264725,0.055835,-5.011254,-0.067172,-111.038803,-347.961578,365.249054,-1.879694,-56.019119,-489.938263
-62.874924,102.893013,120.582863,0.50067,-3.123497,0.328918,31.828392,-195.014114,197.594406,-1.409012,94.703316,-297.907127
-66.278748,243.521713,252.380066,0.67818,-2.606987,-0.071249,-116.495667,-169.458023,205.638672,-2.173057,-50.216919,-412.979736
-41.735199,-22.782398,47.54855,0.128812,-0.525276,-0.054021,-73.204597,-304.958984,313.622223,-1.806386,-31.469398,-282.176586
-30.724258,-34.846489,46.457054,0.666411,1.716034,-0.239394,-62.094597,-91.259941,110.381683,-2.168257,-31.370338,-56.413452
-47.389015,15.485086,49.854855,0.026133,-3.011683,-0.036802,-77.46254,-343.563721,352.188141,-1.792556,-30.073524,-359.048807
-36.38517,31.433544,48.082722,0.016459,-3.454322,-0.000431,-54.466743,-349.862061,354.076385,-1.725237,-18.081573,-381.295605
30.970083,63.339577,70.505661,0.110002,-3.224097,0.000217,52.066963,-324.248566,328.402344,-1.411578,21.09688,-387.588142
-44.931591,8.936653,45.811699,0.293381,-0.882995,-0.024909,-67.749954,-246.069,255.225403,-1.839468,-22.818363,-255.005653
-31.649544,-48.31147,57.755447,0.2266,-0.232574,-0.048279,-60.206116,-270.335083,276.95816,-1.789929,-28.556572,-222.023613
-45.341709,66.015106,80.086609,0.233795,-3.324461,0.391402,77.250496,-271.791962,282.557098,-1.293873,122.592205,-337.807068
-48.583282,211.360367,216.872177,0.415976,-4.226103,-0.109856,-117.720276,-243.544418,270.503143,-2.021046,-69.136993,-454.904785
-46.600506,-36.029625,58.90451,0.199884,-0.27503,-0.059894,-76.108246,-278.243256,288.464539,-1.837797,-29.50774,-242.213631
-71.967865,224.381378,235.640366,0.569094,-3.306588,-0.092208,-131.496887,-190.934097,231.834549,-2.1739,-59.529022,-415.315475
-39.866417,-30.907726,50.444214,0.11882,-1.667799,-0.02739,-63.783936,-310.723572,317.202667,-1.773259,-23.917519,-279.815845
-51.681843,149.135254,157.836426,0.002081,-5.24173,-0.215541,-164.56781,-350.884033,387.559235,-2.009345,-112.885967,-500.019287
-43.503387,74.90728,86.623589,0,-3.501197,-0.004047,-63.352474,-367.101318,372.52774,-1.741688,-19.849087,-442.008598
-26.868637,-1.024538,26.888163,0.851666,0.789078,0.244442,14.219678,-39.534195,42.01371,-1.225524,41.088315,-38.509657
-33.266846,-35.82114,48.88596,0.128825,-1.135772,-0.00724,-53.007515,-308.211945,312.736938,-1.741114,-19.740669,-272.390804
-75.599564,115.686432,138.197845,0.590052,-2.837227,0.337664,19.565943,-172.689835,173.794724,-1.457976,95.165506,-288.376266
36.644089,141.02179,145.704956,0.085314,-4.890727,0.008477,66.322205,-347.479065,353.751801,-1.382198,29.678116,-488.500854
-66.438255,153.156052,166.945557,0.560644,-3.191963,0.39247,63.738388,-186.243896,196.848602,-1.24106,130.176643,-339.399948
44.745327,-14.154145,46.93063,0.056856,-0.978287,0.003908,67.5952,-333.915375,340.688385,-1.371063,22.849873,-319.76123
-42.254326,161.331909,166.773529,0.4969,-3.48742,0.23458,43.598297,-210.891922,215.351379,-1.366935,85.852623,-372.223831
11.072268,28.19381,30.290031,0.709999,-1.023489,0.441025,65.514763,-80.364281,103.685104,-0.886842,54.442495,-108.55809
-34.403793,168.526825,172.002655,0.319489,-4.435106,0.143737,30.765833,-276.275208,277.982971,-1.459894,65.169626,-444.802032
54.276817,12.072294,55.603176,0.377708,-0.326265,0.357589,131.427078,-185.446472,227.29599,-0.954251,77.150261,-197.518766
25.804951,59.073997,64.464195,0.216129,-2.898225,0.011712,47.315598,-283.999969,287.91449,-1.405708,21.510647,-343.073967
48.915039,32.74268,58.862247,0,-2.236674,0.037081,83.123878,-355.231598,364.827454,-1.340933,34.208839,-387.974277
36.504585,63.473785,73.222305,0.059199,-3.289488,0.009929,62.926216,-342.177948,347.915894,-1.388929,26.421631,-405.651733
-33.767166,-3.492431,33.947292,0.030095,-1.916702,-0.016693,-58.290764,-343.911316,348.816284,-1.738694,-24.523598,-340.418885
45.35321,169.596466,175.555908,0.232887,-4.757072,0.028082,82.754433,-301.399536,312.553955,-1.302832,37.401222,-470.996002
46.552841,288.067535,291.80484,0.878964,-1.089323,0.019869,75.592896,-152.854187,170.524734,-1.111524,29.040054,-440.921722
74.043472,36.155098,82.399193,0.003399,-2.639541,0.024901,113.016281,-352.937927,370.591217,-1.260898,38.972809,-389.093025
71.552704,-2.509902,71.59671,0.706633,-0.036147,0.047113,84.977188,-89.852791,123.671524,-0.813279,13.424484,-87.342889
63.473026,2.714926,63.531063,0.612999,0.050171,0.17785,92.710594,-115.572945,148.163284,-0.894726,29.237568,-118.287871
27.967226,-31.944147,42.45697,0.142615,-0.904029,0.031708,51.334808,-302.23761,306.566193,-1.402553,23.367582,-270.293463
38.08028,-14.209336,40.644962,0.082755,-0.491918,0.088791,79.78878,-320.310791,330.098846,-1.326667,41.7085,-306.101455
63.304844,-7.598474,63.759235,0.056039,-0.517266,0.026892,95.588753,-331.080566,344.603485,-1.289722,32.283909,-323.482093
51.265823,4.62017,51.473591,0.254732,-0.741176,0.035504,77.507957,-258.398956,269.773071,-1.279381,26.242134,-263.019126
54.699036,246.468475,252.46524,0.61707,-3.092019,0.096939,116.74379,-195.188904,227.437515,-1.03177,62.044754,-441.657379
43.364716,258.430878,262.043915,0.757929,-2.06529,0.005105,66.707184,-173.486603,185.869446,-1.203715,23.342468,-431.91748
72.327713,-23.933756,76.184792,0.395564,0.915125,0.106214,103.480728,-199.556763,224.791382,-1.092417,31.153015,-175.623007
-40.407299,174.611084,179.22551,0.236705,-4.749459,-0.082088,-98.879196,-296.43573,312.491974,-1.892751,-58.471897,-471.046814
41.239269,-39.216972,56.909126,0.134435,-1.519929,0.022638,64.132492,-305.392944,312.054199,-1.363804,22.893223,-266.175972
71.198105,171.016296,185.245087,0.152277,-4.959963,0.298392,218.868896,-273.37677,350.197723,-0.895682,147.670792,-444.393066
32.462379,-8.708364,33.610142,0.054157,-1.864872,0.002401,51.969772,-335.774384,339.77243,-1.417239,19.507393,-327.066019
66.829735,28.800905,72.771599,0,-2.666037,0.000063,91.529083,-353.7453,365.394745,-1.317606,24.699348,-382.546206
51.40707,138.053314,147.313965,0.045192,-5.037336,0.003037,79.543915,-358.171997,366.898346,-1.35226,28.136845,-496.225311
54.979015,16.939075,57.529335,0.004126,-1.637854,0.041272,94.02919,-351.288116,363.654816,-1.309258,39.050175,-368.227192
39.832718,-38.26252,55.232834,0.173569,-0.464952,0.019974,62.434952,-290.565674,297.197815,-1.359141,22.602234,-252.303154
63.929649,48.12859,80.021004,0,-2.96258,0.018593,94.217796,-354.441681,366.750458,-1.310984,30.288147,-402.570271
63.649761,230.031891,238.675446,0.65221,-2.811732,-0.072844,32.166214,-197.29306,199.89801,-1.409181,-31.483547,-427.324951
-56.406086,169.781952,178.90657,0.466286,-3.700843,0.243779,35.28326,-226.608154,229.338531,-1.416335,91.689346,-396.390106
40.117386,-13.767516,42.414021,0.07083,-1.363618,0.049013,72.333878,-326.819977,334.728973,-1.352981,32.216492,-313.052461
155.531845,231.763672,279.113861,0.89469,-0.94779,-0.666568,-75.596054,-126.849777,147.667297,-2.108232,-231.127899,-358.613449
7.316144,106.072311,106.324318,0.428437,-3.346099,-0.274635,-81.685112,-206.630188,222.190216,-1.947262,-89.001256,-312.702499
35.842579,180.532928,184.056595,0.258179,-4.817253,0.003843,61.385681,-300.228851,306.440155,-1.369113,25.543102,-480.76178
40.943726,-11.896622,42.637051,0.057461,-0.919756,0.065736,78.63665,-330.648254,339.870544,-1.337308,37.692924,-318.751633
61.789726,243.968094,251.671204,0.622,-3.052413,0.086013,119.665855,-191.988861,226.229172,-1.013423,57.876129,-435.956955
53.181267,164.702759,173.075836,0.096659,-5.055499,0.304504,205.449844,-299.468323,363.167877,-0.969495,152.268578,-464.171082
30.805382,71.811264,78.139809,0.048099,-3.534055,0.001812,53.944408,-348.406097,352.557526,-1.417184,23.139027,-420.217361
-61.428886,9.937431,62.227489,0.19332,-1.225711,-0.015105,-86.771141,-282.017883,295.064941,-1.869284,-25.342255,-291.955315
63.185253,266.447144,273.836548,0.760483,-2.043814,0.075303,114.101616,-159.286819,195.937408,-0.949196,50.916363,-425.733963
