v1x,v1y,tick,p2x,p2y
0,-4.6445,3,0,-0.002733
0,-106.647598,46,0,-26.200745
0,-190.747665,81,0,-82.465858
0,-210.477219,88,0,-99.954765
0,-269.102509,111,0,-160.960327
0,-370.858917,150,0,-297.562866
0,-369.362061,150,0,-295.266052
0,-395.388092,159,0,-336.029053
0,-468.015411,185,0,-461.85733
0,-496.063354,195,0,-515.065552
0,-561.814331,218,0,-649.452271
0,-594.650085,230,0,-721.448547
0,-598.037292,231,0,-729.063782
0,-713.239258,269,0,-1007.307312
0,-759.492065,284,0,-1129.209473
0,-775.822266,289,0,-1173.588257
0,-881.450745,322,0,-1476.810791
0,-892.323975,326,0,-1509.547363
0,-912.980042,332,0,-1572.556152
0,-983.781982,353,0,-1795.968628
0,-139.344498,60,0,-44.497066
0,-185.898911,79,0,-78.417397
0,-190.136993,80,0,-81.971313
0,-203.179871,86,0,-93.287384
0,-205.781662,87,0,-95.632881
0,-239.21666,100,0,-128.167633
0,-283.385223,117,0,-177.822433
0,-407.513763,164,0,-355.791992
0,-413.293396,166,0,-365.398987
0,-435.616608,174,0,-403.54834
0,-489.690765,193,0,-502.751984
0,-565.976196,220,0,-658.388855
0,-602.16095,232,0,-738.383606
0,-847.394104,312,0,-1376.031372
0,-851.505005,313,0,-1388.054443
0,-906.928345,330,0,-1553.998901
0,-947.196167,342,0,-1679.100464
0,-952.688171,344,0,-1696.443726
0,-966.68396,348,0,-1740.972656
0,-998.573547,357,0,-1844.074829
0,-39.008213,17,0,-3.4456
0,-75.378754,33,0,-13.091629
0,-99.646683,43,0,-22.889343
0,-142.507843,61,0,-46.522152
0,-193.447189,82,0,-84.76545
0,-199.065063,84,0,-89.647881
0,-210.281189,88,0,-99.772263
0,-239.996658,100,0,-128.987442
0,-243.179382,101,0,-132.328201
0,-306.383667,126,0,-206.594223
0,-337.197296,137,0,-248.21759
0,-482.34201,191,0,-488.699585
0,-523.589966,205,0,-569.69812
0,-623.940491,240,0,-788.352966
0,-787.199036,293,0,-1204.89856
0,-817.428284,302,0,-1289.724854
0,-853.07196,313,0,-1392.654785
0,-884.730591,323,0,-1486.661255
0,-899.820312,328,0,-1532.30542
0,-969.085327,349,0,-1748.649414
0,-44.453712,20,0,-4.486558
0,-74.570076,33,0,-12.800651
0,-125.007225,54,0,-35.900776
0,-147.775452,63,0,-49.977779
0,-167.801788,71,0,-64.173271
0,-189.791733,80,0,-81.677803
0,-458.195465,182,0,-443.815399
0,-464.85083,184,0,-456.010406
0,-680.254761,258,0,-923.873962
0,-692.908875,262,0,-955.536743
0,-696.602844,264,0,-964.842346
0,-722.23822,272,0,-1030.579102
0,-724.730591,273,0,-1037.058105
0,-750.878174,281,0,-1106.085815
0,-808.666504,300,0,-1264.887085
0,-809.734192,300,0,-1267.911255
0,-836.265564,308,0,-1343.729614
0,-957.937988,345,0,-1713.106812
0,-993.194885,356,0,-1826.515137
0,-17.832655,8,0,-0.668467
0,-20.242952,9,0,-0.877562
0,-41.525211,19,0,-3.89294
0,-74.919678,33,0,-12.926445
0,-125.572533,54,0,-36.229794
0,-178.43454,76,0,-72.370338
0,-300.890198,124,0,-199.538345
0,-306.009949,126,0,-206.106186
0,-350.003662,142,0,-266.516479
0,-467.786957,185,0,-461.4328
0,-643.345154,246,0,-834.051941
0,-664.019531,253,0,-883.891296
0,-673.111084,256,0,-906.1875
0,-731.224487,275,0,-1054.033081
0,-750.290833,281,0,-1104.510986
0,-782.741577,291,0,-1192.601807
0,-783.284668,292,0,-1194.076904
0,-816.732361,302,0,-1287.74292
0,-858.971008,315,0,-1409.986328
0,-910.63147,331,0,-1565.349731
0,-82.085083,36,0,-15.528676
0,-219.368546,92,0,-108.327995
0,-226.130325,95,0,-114.903915
0,-266.503021,110,0,-157.972763
0,-291.12323,120,0,-187.283768
0,-301.602051,124,0,-200.454147
0,-318.313202,130,0,-222.305023
0,-357.074951,145,0,-276.864746
0,-391.4086,158,0,-329.634705
0,-514.711914,202,0,-551.814575
0,-526.311279,206,0,-575.226318
0,-538.747864,210,0,-600.79425
0,-576.571777,223,0,-681.423462
0,-576.615234,223,0,-681.518738
0,-608.114197,234,0,-751.911987
0,-833.594116,307,0,-1336.019287
0,-839.791565,309,0,-1353.936279
0,-892.700317,326,0,-1510.690918
0,-915.81012,333,0,-1581.258911
0,-950.3396,343,0,-1689.022827
0,-64.092598,28,0,-9.44856
0,-188.582977,80,0,-80.650337
0,-235.323257,98,0,-124.164436
0,-290.770599,120,0,-186.843842
0,-323.327057,132,0,-229.056381
0,-355.132996,144,0,-274.009644
0,-387.500305,156,0,-323.434845
0,-422.07785,169,0,-380.216553
0,-424.404358,170,0,-384.178253
0,-556.179626,216,0,-637.418518
0,-594.637939,230,0,-721.420715
0,-669.168762,255,0,-896.481445
0,-683.399353,259,0,-931.702209
0,-740.800171,278,0,-1079.266357
0,-761.082031,285,0,-1133.483154
0,-781.535095,291,0,-1189.270508
0,-863.993286,317,0,-1424.800293
0,-871.434875,319,0,-1446.885254
0,-973.045105,350,0,-1761.35437
0,-980.500854,352,0,-1785.364746
0,-118.318932,51,0,-32.199707
0,-137.704224,59,0,-43.478313
0,-198.26915,84,0,-88.939034
0,-276.141998,114,0,-169.174423
0,-376.790802,152,0,-306.677765
0,-430.549957,172,0,-394.748871
0,-499.160706,197,0,-521.071472
0,-503.78952,198,0,-530.15741
0,-507.271088,199,0,-537.025452
0,-695.182007,263,0,-961.265625
0,-753.50824,282,0,-1113.122925
0,-756.87262,283,0,-1122.159302
0,-845.94397,311,0,-1371.818237
0,-889.283569,325,0,-1500.362915
0,-905.525208,330,0,-1549.694946
0,-919.466858,334,0,-1592.545288
0,-949.067993,343,0,-1684.99646
0,-967.230896,348,0,-1742.726318
0,-990.299683,355,0,-1817.102539
0,-999.416016,358,0,-1846.81189
0,-104.009857,45,0,-24.9247
0,-118.848061,51,0,-32.491047
0,-148.283707,63,0,-50.321178
0,-162.900192,69,0,-60.544205
0,-174.337906,74,0,-69.160233
0,-185.573944,78,0,-78.170998
0,-198.150391,83,0,-88.858673
0,-300.255249,123,0,-198.748322
0,-395.176331,159,0,-335.686249
0,-451.809113,180,0,-432.248505
0,-468.50238,186,0,-462.739655
0,-519.09967,204,0,-560.606079
0,-576.653992,223,0,-681.604675
0,-703.872681,266,0,-983.312805
0,-709.754333,268,0,-998.348511
0,-831.625366,307,0,-1330.333862
0,-836.709961,308,0,-1345.016479
0,-864.36322,317,0,-1425.896362
0,-906.13385,330,0,-1551.562256
0,-969.949341,349,0,-1751.424683
0,-100.119598,43,0,-23.109861
0,-119.846481,52,0,-33.018154
0,-134.252884,58,0,-41.338657
0,-222.459015,93,0,-111.320984
0,-292.720978,121,0,-189.253281
0,-296.057312,122,0,-193.431122
0,-302.462921,124,0,-201.561539
0,-312.388885,128,0,-214.438889
0,-461.252045,183,0,-449.396912
0,-508.275543,200,0,-538.997131
0,-510.164703,200,0,-542.759277
0,-533.148682,208,0,-589.228271
0,-555.766724,216,0,-636.536987
0,-645.754822,247,0,-839.79364
0,-708.389343,267,0,-994.862427
0,-754.383118,282,0,-1115.475586
0,-853.52417,314,0,-1393.958984
0,-879.217041,322,0,-1470.096313
0,-879.526611,322,0,-1471.026855
0,-903.43866,329,0,-1543.334229
0,-10.009745,5,0,-0.175178
0,-22.825167,10,0,-1.133337
0,-85.437149,37,0,-16.835407
0,-157.014572,67,0,-56.310066
0,-217.042435,91,0,-106.1064
0,-410.329163,165,0,-360.456573
0,-451.523987,180,0,-431.732208
0,-455.379547,181,0,-438.702454
0,-476.396454,188,0,-477.492676
0,-647.575134,247,0,-844.160461
0,-646.793579,247,0,-842.285278
0,-674.661926,256,0,-910.023804
0,-756.540649,283,0,-1121.263794
0,-764.215027,286,0,-1141.9552
0,-780.680969,291,0,-1186.910889
0,-789.854309,294,0,-1212.251587
0,-822.631104,304,0,-1304.546021
0,-830.233032,306,0,-1326.34082
0,-921.05426,334,0,-1597.462402
0,-929.699036,337,0,-1624.2771
0,-82.74791,36,0,-15.788424
0,-190.14679,80,0,-81.97966
0,-213.960709,90,0,-103.187584
0,-289.855347,119,0,-185.728455
0,-323.935272,132,0,-229.885635
0,-326.025818,133,0,-232.729828
0,-336.760956,137,0,-247.601776
0,-339.208038,138,0,-251.048157
0,-361.199585,146,0,-282.998169
0,-498.040863,196,0,-518.905945
0,-540.226562,211,0,-603.854187
0,-542.202332,212,0,-607.957947
0,-567.515564,220,0,-661.725647
0,-640.317017,245,0,-826.853271
