p2y,tick
1647.248779,386
1655.213013,387
1663.193604,388
1671.190674,389
1679.204224,390
1687.234131,391
1695.280396,392
1703.343018,393
1711.421997,394
1719.517334,395
1727.629028,396
1735.756958,397
1743.901245,398
1752.061768,399
1760.238525,400
1768.431519,401
1776.640625,402
1784.865967,403
1793.107422,404
1801.365112,405
1809.638916,406
1817.928833,407
1826.234863,408
1834.557007,409
1842.895142,410
1851.24939,411
1859.619629,412
1868.005859,413
1876.408081,414
1884.826294,415
1893.260498,416
1901.710571,417
1910.176636,418
1918.658569,419
1927.156372,420
1935.670044,421
1944.199585,422
1952.744873,423
1961.30603,424
1969.882935,425
1978.475708,426
1987.084229,427
1995.708496,428
2004.348511,429
2013.00415,430
2021.675537,431
2030.362549,432
2039.065186,433
2047.783569,434
2056.517578,435
2065.26709,436
2074.032227,437
2082.812988,438
2091.609375,439
2100.421143,440
2109.248535,441
2118.091309,442
2126.949707,443
2135.823486,444
2144.712646,445
2153.617188,446
2162.537354,447
2171.4729,448
2180.423828,449
2189.390137,450
