v1x,v1y,p1x,p1y,tick,p2x,p2y
26.13056,-917.368652,0,0,0,0,0
-433.117126,74.536636,0,0,0,0,0
19.919777,-73.228264,0,0,0,0,0
9.950727,-8.261742,0,0,0,0,0
-97.219139,-821.547729,0,0,0,0,0
723.709961,-26.028719,0,0,0,0,0
-127.339775,541.672729,0,0,0,0,0
160.760147,-0.153447,0,0,0,0,0
736.290833,115.850967,0,0,0,0,0
674.697571,-331.922272,0,0,0,0,0
26.13056,-917.368652,0,0,1,0.290017,-10.156351
-433.117126,74.536636,0,0,1,-4.807065,0.852573
19.919777,-73.228264,0,0,1,0.221085,-0.787435
9.950727,-8.261742,0,0,1,0.110441,-0.066386
-97.219139,-821.547729,0,0,1,-1.079013,-9.092857
723.709961,-26.028719,0,0,1,8.032288,-0.263578
-127.339775,541.672729,0,0,1,-1.413314,6.037207
160.760147,-0.153447,0,0,1,1.784239,0.023606
736.290833,115.850967,0,0,1,8.171919,1.311111
674.697571,-331.922272,0,0,1,7.488311,-3.658619
26.13056,-917.368652,0,0,2,0.579712,-20.276108
-433.117126,74.536636,0,0,2,-9.60879,1.729508
19.919777,-73.228264,0,0,2,0.441924,-1.548686
9.950727,-8.261742,0,0,2,0.220759,-0.107391
-97.219139,-821.547729,0,0,2,-2.156826,-18.150303
723.709961,-26.028719,0,0,2,16.055651,-0.501554
-127.339775,541.672729,0,0,2,-2.825058,12.093016
160.760147,-0.153447,0,0,2,3.566496,0.072494
736.290833,115.850967,0,0,2,16.334759,2.646075
674.697571,-331.922272,0,0,2,14.968301,-7.287865
26.13056,-917.368652,0,0,3,0.869085,-30.359314
-433.117126,74.536636,0,0,3,-14.40518,2.630777
19.919777,-73.228264,0,0,3,0.662518,-2.283782
9.950727,-8.261742,0,0,3,0.330954,-0.12304
-97.219139,-821.547729,0,0,3,-3.233442,-27.172377
723.709961,-26.028719,0,0,3,24.070099,-0.713958
-127.339775,541.672729,0,0,3,-4.235234,18.167404
160.760147,-0.153447,0,0,3,5.346773,0.146636
736.290833,115.850967,0,0,3,24.488529,4.004864
674.697571,-331.922272,0,0,3,22.43998,-10.88777
26.13056,-917.368652,0,0,4,1.158136,-40.406006
-433.117126,74.536636,0,0,4,-19.196239,3.556353
19.919777,-73.228264,0,0,4,0.882867,-2.992754
9.950727,-8.261742,0,0,4,0.441027,-0.113364
-97.219139,-821.547729,0,0,4,-4.308862,-36.159119
723.709961,-26.028719,0,0,4,32.075642,-0.900817
-127.339775,541.672729,0,0,4,-5.643843,24.260351
160.760147,-0.153447,0,0,4,7.125071,0.246004
736.290833,115.850967,0,0,4,32.63324,5.387451
674.697571,-331.922272,0,0,4,29.903358,-14.458365
26.13056,-917.368652,0,0,5,1.446866,-50.416229
-433.117126,74.536636,0,0,5,-23.981976,4.506209
19.919777,-73.228264,0,0,5,1.102971,-3.675629
9.950727,-8.261742,0,0,5,0.550978,-0.07839
-97.219139,-821.547729,0,0,5,-5.383087,-45.110565
723.709961,-26.028719,0,0,5,40.072289,-1.062159
-127.339775,541.672729,0,0,5,-7.050886,30.371838
160.760147,-0.153447,0,0,5,8.901394,0.370571
736.290833,115.850967,0,0,5,40.768898,6.793811
674.697571,-331.922272,0,0,5,37.358444,-17.999685
26.13056,-917.368652,0,0,6,1.735275,-60.390022
-433.117126,74.536636,0,0,6,-28.762394,5.480319
19.919777,-73.228264,0,0,6,1.32283,-4.332436
9.950727,-8.261742,0,0,6,0.660807,-0.018146
-97.219139,-821.547729,0,0,6,-6.456118,-54.026756
723.709961,-26.028719,0,0,6,48.060051,-1.198014
-127.339775,541.672729,0,0,6,-8.456367,36.501842
160.760147,-0.153447,0,0,6,10.675743,0.520308
736.290833,115.850967,0,0,6,48.895519,8.223917
674.697571,-331.922272,0,0,6,44.805244,-21.511763
26.13056,-917.368652,0,0,7,2.023364,-70.327423
-433.117126,74.536636,0,0,7,-33.537502,6.478655
19.919777,-73.228264,0,0,7,1.542446,-4.963205
9.950727,-8.261742,0,0,7,0.770513,0.067339
-97.219139,-821.547729,0,0,7,-7.527957,-62.907734
723.709961,-26.028719,0,0,7,56.03894,-1.308409
-127.339775,541.672729,0,0,7,-9.860285,42.650345
160.760147,-0.153447,0,0,7,12.448121,0.695188
736.290833,115.850967,0,0,7,57.013111,9.677743
674.697571,-331.922272,0,0,7,52.243771,-24.994629
26.13056,-917.368652,0,0,8,2.311133,-80.228477
-433.117126,74.536636,0,0,8,-38.307304,7.50119
19.919777,-73.228264,0,0,8,1.761817,-5.567965
9.950727,-8.261742,0,0,8,0.880098,0.178038
-97.219139,-821.547729,0,0,8,-8.598606,-71.753532
723.709961,-26.028719,0,0,8,64.008965,-1.393372
-127.339775,541.672729,0,0,8,-11.262644,48.817322
160.760147,-0.153447,0,0,8,14.21853,0.895181
736.290833,115.850967,0,0,8,65.121681,11.155262
674.697571,-331.922272,0,0,8,59.674034,-28.448317
26.13056,-917.368652,0,0,9,2.598582,-90.093216
-433.117126,74.536636,0,0,9,-43.071808,8.547898
19.919777,-73.228264,0,0,9,1.980944,-6.146744
9.950727,-8.261742,0,0,9,0.989561,0.313923
-97.219139,-821.547729,0,0,9,-9.668065,-80.564194
723.709961,-26.028719,0,0,9,71.970131,-1.452933
-127.339775,541.672729,0,0,9,-12.663445,55.002758
160.760147,-0.153447,0,0,9,15.986971,1.120261
736.290833,115.850967,0,0,9,73.221245,12.656447
674.697571,-331.922272,0,0,9,67.096039,-31.872858
26.13056,-917.368652,0,0,10,2.885712,-99.921692
-433.117126,74.536636,0,0,10,-47.831017,9.618752
19.919777,-73.228264,0,0,10,2.199828,-6.699571
9.950727,-8.261742,0,0,10,1.098902,0.474966
-97.219139,-821.547729,0,0,10,-10.736336,-89.33976
723.709961,-26.028719,0,0,10,79.922455,-1.487119
-127.339775,541.672729,0,0,10,-14.062689,61.206631
160.760147,-0.153447,0,0,10,17.753447,1.3704
736.290833,115.850967,0,0,10,81.311806,14.181273
674.697571,-331.922272,0,0,10,74.509796,-35.268288
26.13056,-917.368652,0,0,11,3.172523,-109.713936
-433.117126,74.536636,0,0,11,-52.584938,10.713724
19.919777,-73.228264,0,0,11,2.418469,-7.226476
9.950727,-8.261742,0,0,11,1.208122,0.661138
-97.219139,-821.547729,0,0,11,-11.803419,-98.080269
723.709961,-26.028719,0,0,11,87.865944,-1.495958
-127.339775,541.672729,0,0,11,-15.460379,67.428917
160.760147,-0.153447,0,0,11,19.51796,1.645569
