v1x,v1y,p1x,p1y,tick,p2x,p2y
-135.322662,811.925903,0,0,0,0,0
168.020798,-881.552185,0,0,0,0,0
436.822266,-664.699951,0,0,0,0,0
-162.063721,-282.389648,0,0,0,0,0
-430.318451,-117.361702,0,0,0,0,0
-409.611053,-585.2146,0,0,0,0,0
11.606537,-189.283905,0,0,0,0,0
-72.544785,-196.244827,0,0,0,0,0
473.752777,387.493073,0,0,0,0,0
-387.00293,87.747955,0,0,0,0,0
-135.322662,811.925903,0,0,1,-1.501915,9.036684
168.020798,-881.552185,0,0,1,1.864823,-9.758833
436.822266,-664.699951,0,0,1,4.848188,-7.352041
-162.063721,-282.389648,0,0,1,-1.798707,-3.108868
-430.318451,-117.361702,0,0,1,-4.776004,-1.277261
-409.611053,-585.2146,0,0,1,-4.546177,-6.469851
11.606537,-189.283905,0,0,1,0.128818,-2.075509
-72.544785,-196.244827,0,0,1,-0.805158,-2.152767
473.752777,387.493073,0,0,1,5.258071,4.326004
-387.00293,87.747955,0,0,1,-4.295255,0.999203
-135.322662,811.925903,0,0,2,-3.00216,18.088636
168.020798,-881.552185,0,0,2,3.727575,-19.481514
436.822266,-664.699951,0,0,2,9.690989,-14.670605
-162.063721,-282.389648,0,0,2,-3.595416,-6.188973
-430.318451,-117.361702,0,0,2,-9.546701,-2.527795
-409.611053,-585.2146,0,0,2,-9.087303,-12.907206
11.606537,-189.283905,0,0,2,0.257493,-4.123404
-72.544785,-196.244827,0,0,2,-1.609421,-4.277833
473.752777,387.493073,0,0,2,10.510301,8.672509
-387.00293,87.747955,0,0,2,-8.585737,2.022604
-135.322662,811.925903,0,0,3,-4.500739,27.15584
168.020798,-881.552185,0,0,3,5.588257,-29.168083
436.822266,-664.699951,0,0,3,14.52841,-21.955729
-162.063721,-282.389648,0,0,3,-5.390128,-9.240348
-430.318451,-117.361702,0,0,3,-14.312098,-3.75163
-409.611053,-585.2146,0,0,3,-13.623384,-19.312099
11.606537,-189.283905,0,0,3,0.386026,-6.143714
-72.544785,-196.244827,0,0,3,-2.41279,-6.37523
473.752777,387.493073,0,0,3,15.756695,13.039494
-387.00293,87.747955,0,0,3,-12.871452,3.070176
-135.322662,811.925903,0,0,4,-5.997653,36.238277
168.020798,-881.552185,0,0,4,7.446871,-38.818581
436.822266,-664.699951,0,0,4,19.360455,-29.207449
-162.063721,-282.389648,0,0,4,-7.182846,-12.263023
-430.318451,-117.361702,0,0,4,-19.072199,-4.948797
-409.611053,-585.2146,0,0,4,-18.154423,-25.684566
11.606537,-189.283905,0,0,4,0.514415,-8.136471
-72.544785,-196.244827,0,0,4,-3.215267,-8.444987
473.752777,387.493073,0,0,4,20.997259,17.426935
-387.00293,87.747955,0,0,4,-17.152407,4.141894
-135.322662,811.925903,0,0,5,-7.492904,45.335934
168.020798,-881.552185,0,0,5,9.303421,-48.433048
436.822266,-664.699951,0,0,5,24.187132,-36.425804
-162.063721,-282.389648,0,0,5,-8.973573,-15.257031
-430.318451,-117.361702,0,0,5,-23.827011,-6.119326
-409.611053,-585.2146,0,0,5,-22.680428,-32.024647
11.606537,-189.283905,0,0,5,0.642662,-10.101706
-72.544785,-196.244827,0,0,5,-4.016852,-10.487137
473.752777,387.493073,0,0,5,26.232,21.83481
-387.00293,87.747955,0,0,5,-21.428604,5.237729
-135.322662,811.925903,0,0,6,-8.986493,54.448792
168.020798,-881.552185,0,0,6,11.157907,-58.011524
436.822266,-664.699951,0,0,6,29.008446,-43.610828
-162.063721,-282.389648,0,0,6,-10.762309,-18.222404
-430.318451,-117.361702,0,0,6,-28.576542,-7.263245
-409.611053,-585.2146,0,0,6,-27.201405,-38.332375
11.606537,-189.283905,0,0,6,0.770766,-12.039448
-72.544785,-196.244827,0,0,6,-4.817546,-12.501709
473.752777,387.493073,0,0,6,31.460926,26.263096
-387.00293,87.747955,0,0,6,-25.70005,6.357656
-135.322662,811.925903,0,0,7,-10.478423,63.576832
168.020798,-881.552185,0,0,7,13.010334,-67.554047
436.822266,-664.699951,0,0,7,33.824402,-50.762562
-162.063721,-282.389648,0,0,7,-12.549059,-21.159174
-430.318451,-117.361702,0,0,7,-33.320793,-8.380584
-409.611053,-585.2146,0,0,7,-31.717358,-44.607784
11.606537,-189.283905,0,0,7,0.898728,-13.949729
-72.544785,-196.244827,0,0,7,-5.617351,-14.488734
473.752777,387.493073,0,0,7,36.68404,30.711771
-387.00293,87.747955,0,0,7,-29.966751,7.501646
-135.322662,811.925903,0,0,8,-11.968695,72.720039
168.020798,-881.552185,0,0,8,14.860702,-77.060661
436.822266,-664.699951,0,0,8,38.63501,-57.881042
-162.063721,-282.389648,0,0,8,-14.333823,-24.067371
-430.318451,-117.361702,0,0,8,-38.059776,-9.471373
-409.611053,-585.2146,0,0,8,-36.228294,-50.850914
11.606537,-189.283905,0,0,8,1.026547,-15.832579
-72.544785,-196.244827,0,0,8,-6.416267,-16.448242
473.752777,387.493073,0,0,8,41.901352,35.180813
-387.00293,87.747955,0,0,8,-34.22871,8.669674
-135.322662,811.925903,0,0,9,-13.457311,81.878395
168.020798,-881.552185,0,0,9,16.709013,-86.531403
436.822266,-664.699951,0,0,9,43.440269,-64.966301
-162.063721,-282.389648,0,0,9,-16.116604,-26.947029
-430.318451,-117.361702,0,0,9,-42.793491,-10.535641
-409.611053,-585.2146,0,0,9,-40.734219,-57.061798
11.606537,-189.283905,0,0,9,1.154225,-17.688028
-72.544785,-196.244827,0,0,9,-7.214296,-18.380264
473.752777,387.493073,0,0,9,47.112865,39.670197
-387.00293,87.747955,0,0,9,-38.485935,9.861713
-135.322662,811.925903,0,0,10,-14.944273,91.05188
168.020798,-881.552185,0,0,10,18.555271,-95.966316
436.822266,-664.699951,0,0,10,48.240192,-72.018379
-162.063721,-282.389648,0,0,10,-17.897404,-29.79818
-430.318451,-117.361702,0,0,10,-47.52195,-11.573418
-409.611053,-585.2146,0,0,10,-45.235138,-63.240471
11.606537,-189.283905,0,0,10,1.281761,-19.516108
-72.544785,-196.244827,0,0,10,-8.011437,-20.284832
473.752777,387.493073,0,0,10,52.318588,44.179901
-387.00293,87.747955,0,0,10,-42.73843,11.077737
-135.322662,811.925903,0,0,11,-16.429583,100.240486
168.020798,-881.552185,0,0,11,20.399479,-105.365433
436.822266,-664.699951,0,0,11,53.034782,-79.037315
-162.063721,-282.389648,0,0,11,-19.676226,-32.620853
-430.318451,-117.361702,0,0,11,-52.245152,-12.584734
-409.611053,-585.2146,0,0,11,-49.731056,-69.386971
11.606537,-189.283905,0,0,11,1.409155,-21.316847
-72.544785,-196.244827,0,0,11,-8.807693,-22.161976
473.752777,387.493073,0,0,11,57.518528,48.709904
-387.00293,87.747955,0,0,11,-46.986198,12.317718
-135.322662,811.925903,0,0,12,-17.913242,109.444191
168.020798,-881.552185,0,0,12,22.241636,-114.728798
436.822266,-664.699951,0,0,12,57.824043,-86.023148
-162.063721,-282.389648,0,0,12,-21.453072,-35.415081
-430.318451,-117.361702,0,0,12,-56.963104,-13.569617
-409.611053,-585.2146,0,0,12,-54.221977,-75.501335
11.606537,-189.283905,0,0,12,1.536407,-23.090277
-72.544785,-196.244827,0,0,12,-9.603065,-24.011724
473.752777,387.493073,0,0,12,62.712692,53.260181
-387.00293,87.747955,0,0,12,-51.229248,13.58163
-135.322662,811.925903,0,0,13,-19.395254,118.662979
168.020798,-881.552185,0,0,13,24.081747,-124.056458
436.822266,-664.699951,0,0,13,62.607983,-92.975906
-162.063721,-282.389648,0,0,13,-23.227943,-38.180897
-430.318451,-117.361702,0,0,13,-61.675816,-14.528098
-409.611053,-585.2146,0,0,13,-58.707909,-81.583595
11.606537,-189.283905,0,0,13,1.663519,-24.836428
-72.544785,-196.244827,0,0,13,-10.397553,-25.83411
473.752777,387.493073,0,0,13,67.901085,57.830711
-387.00293,87.747955,0,0,13,-55.467583,14.869446
-135.322662,811.925903,0,0,14,-20.875618,127.896828
168.020798,-881.552185,0,0,14,25.919813,-133.348434
436.822266,-664.699951,0,0,14,67.386604,-99.89563
-162.063721,-282.389648,0,0,14,-25.000843,-40.918331
-430.318451,-117.361702,0,0,14,-66.383293,-15.460205
-409.611053,-585.2146,0,0,14,-63.188854,-87.633789
11.606537,-189.283905,0,0,14,1.790489,-26.55533
-72.544785,-196.244827,0,0,14,-11.191158,-27.629162
473.752777,387.493073,0,0,14,73.08371,62.421471
-387.00293,87.747955,0,0,14,-59.70121,16.181139
-135.322662,811.925903,0,0,15,-22.354338,137.145721
168.020798,-881.552185,0,0,15,27.755838,-142.604782
436.822266,-664.699951,0,0,15,72.15992,-106.782356
-162.063721,-282.389648,0,0,15,-26.771772,-43.627415
-430.318451,-117.361702,0,0,15,-71.085541,-16.365967
-409.611053,-585.2146,0,0,15,-67.664825,-93.651955
11.606537,-189.283905,0,0,15,1.917317,-28.247015
-72.544785,-196.244827,0,0,15,-11.983882,-29.39691
473.752777,387.493073,0,0,15,78.260574,67.03244
-387.00293,87.747955,0,0,15,-63.93013,17.516684
-135.322662,811.925903,0,0,16,-23.831415,146.409653
